[11:00 am] Cook D is ready
[11: 1] Cook D: Preparing order (Waiter V, Customer 3, Count 3)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waite6] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook C: Preparing order (Waiter U, Customer 228008016, Count 32634)
